logs__queries__correct,logs__queries__error,logs__users,logs__timestamp,dia,mes,aux,año,time,hora,min
398,3,401,2/8/18 0:00,2,8,18 0:00,18,0:00,0,0
449,2,451,2/8/18 0:15,2,8,18 0:15,18,0:15,0,15
396,4,400,2/8/18 0:30,2,8,18 0:30,18,0:30,0,30
330,3,333,2/8/18 0:45,2,8,18 0:45,18,0:45,0,45
279,4,283,2/8/18 1:00,2,8,18 1:00,18,1:00,1,0
342,4,346,2/8/18 1:15,2,8,18 1:15,18,1:15,1,15
309,5,314,2/8/18 1:30,2,8,18 1:30,18,1:30,1,30
344,3,347,2/8/18 1:45,2,8,18 1:45,18,1:45,1,45
306,4,310,2/8/18 2:00,2,8,18 2:00,18,2:00,2,0
381,2,383,2/8/18 2:15,2,8,18 2:15,18,2:15,2,15
328,2,330,2/8/18 2:30,2,8,18 2:30,18,2:30,2,30
288,3,291,2/8/18 2:45,2,8,18 2:45,18,2:45,2,45
265,2,267,2/8/18 3:00,2,8,18 3:00,18,3:00,3,0
232,2,234,2/8/18 3:15,2,8,18 3:15,18,3:15,3,15
204,2,206,2/8/18 3:30,2,8,18 3:30,18,3:30,3,30
202,2,204,2/8/18 3:45,2,8,18 3:45,18,3:45,3,45
202,1,197,2/8/18 4:00,2,8,18 4:00,18,4:00,4,0
68,0,68,2/8/18 4:15,2,8,18 4:15,18,4:15,4,15
43,0,42,2/8/18 4:30,2,8,18 4:30,18,4:30,4,30
34,0,34,2/8/18 4:45,2,8,18 4:45,18,4:45,4,45
32,0,32,2/8/18 5:00,2,8,18 5:00,18,5:00,5,0
29,0,29,2/8/18 5:15,2,8,18 5:15,18,5:15,5,15
38,0,29,2/8/18 5:30,2,8,18 5:30,18,5:30,5,30
26,0,26,2/8/18 5:45,2,8,18 5:45,18,5:45,5,45
26,0,26,2/8/18 6:00,2,8,18 6:00,18,6:00,6,0
24,0,24,2/8/18 6:15,2,8,18 6:15,18,6:15,6,15
22,0,22,2/8/18 6:34,2,8,18 6:34,18,6:34,6,34
21,0,21,2/8/18 6:45,2,8,18 6:45,18,6:45,6,45
30,0,30,2/8/18 7:00,2,8,18 7:00,18,7:00,7,0
63,0,54,2/8/18 7:15,2,8,18 7:15,18,7:15,7,15
52,0,52,2/8/18 7:30,2,8,18 7:30,18,7:30,7,30
73,0,73,2/8/18 7:45,2,8,18 7:45,18,7:45,7,45
69,0,69,2/8/18 8:00,2,8,18 8:00,18,8:00,8,0
76,1,77,2/8/18 8:15,2,8,18 8:15,18,8:15,8,15
128,1,127,2/8/18 8:30,2,8,18 8:30,18,8:30,8,30
218,1,219,2/8/18 8:45,2,8,18 8:45,18,8:45,8,45
181,0,181,2/8/18 9:00,2,8,18 9:00,18,9:00,9,0
264,1,265,2/8/18 9:15,2,8,18 9:15,18,9:15,9,15
404,4,408,2/8/18 9:30,2,8,18 9:30,18,9:30,9,30
711,6,710,2/8/18 9:45,2,8,18 9:45,18,9:45,9,45
654,9,663,2/8/18 10:00,2,8,18 10:00,18,10:00,10,0
635,9,644,2/8/18 10:15,2,8,18 10:15,18,10:15,10,15
640,9,649,2/8/18 10:30,2,8,18 10:30,18,10:30,10,30
